index,concentration,antennation,shaking,colony
1,0,21,0,A
2,0,40,2,A
3,0,25,0,A
4,0,28,6,A
5,0,30,0,A
6,0,31,4,A
7,0,49,0,A
8,0,8,0,A
9,0,45,2,A
10,0,43,0,A
11,0,47,5,B
12,0,27,4,B
13,0,33,0,B
14,0,30,9,B
15,0,57,6,B
16,0,51,0,B
17,0,43,6,B
18,0,22,3,B
19,0,33,3,B
20,0,3,0,B
21,0.1,15,1,A
22,0.1,44,7,A
23,0.1,5,0,A
24,0.1,43,4,A
25,0.1,21,1,A
26,0.1,13,0,A
27,0.1,44,3,A
28,0.1,34,1,A
29,0.1,55,7,A
30,0.1,40,3,A
31,0.1,37,3,B
32,0.1,49,1,B
33,0.1,40,16,B
34,0.1,4,1,B
35,0.1,39,3,B
36,0.1,0,1,B
37,0.1,3,0,B
38,0.1,9,1,B
39,0.1,13,4,B
40,0.1,38,12,B
41,0.3,33,3,A
42,0.3,47,7,A
43,0.3,62,10,A
44,0.3,20,29,A
45,0.3,20,3,A
46,0.3,51,2,A
47,0.3,55,7,A
48,0.3,51,3,A
49,0.3,73,3,A
50,0.3,49,0,A
51,0.3,37,8,B
52,0.3,58,6,B
53,0.3,27,5,B
54,0.3,54,4,B
55,0.3,30,8,B
56,0.3,32,4,B
57,0.3,51,14,B
58,0.3,52,14,B
59,0.3,59,5,B
60,0.3,40,4,B
61,1,24,4,A
62,1,58,15,A
63,1,55,14,A
64,1,79,8,A
65,1,44,12,A
66,1,51,42,A
67,1,23,9,A
68,1,84,4,A
69,1,10,0,A
70,1,46,14,A
71,1,50,28,B
72,1,32,9,B
73,1,43,19,B
74,1,71,17,B
75,1,43,7,B
76,1,36,9,B
77,1,39,7,B
78,1,44,18,B
79,1,81,17,B
80,1,53,9,B
81,3,39,16,A
82,3,87,23,A
83,3,93,14,A
84,3,72,9,A
85,3,71,22,A
86,3,86,24,A
87,3,69,6,A
88,3,64,23,A
89,3,109,20,A
90,3,50,15,A
91,3,46,5,B
92,3,29,2,B
93,3,49,21,B
94,3,40,7,B
95,3,51,8,B
96,3,55,16,B
97,3,54,15,B
98,3,48,9,B
99,3,51,5,B
